
2024/10/12 (14:53:44) | ===> btop++ v.1.4.0
2024/10/12 (14:53:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (16:11:46) | ===> btop++ v.1.4.0
2024/10/12 (16:11:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (19:10:44) | ===> btop++ v.1.4.0
2024/10/20 (19:10:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (15:04:30) | ===> btop++ v.1.4.0
2024/11/05 (15:04:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (18:19:03) | ===> btop++ v.1.4.0
2024/12/01 (18:19:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (18:19:10) | ===> btop++ v.1.4.0
2024/12/01 (18:19:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (18:19:17) | ===> btop++ v.1.4.0
2024/12/01 (18:19:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (18:42:06) | ===> btop++ v.1.4.0
2024/12/01 (18:42:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (09:10:12) | ===> btop++ v.1.4.0
2024/12/05 (09:10:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (09:10:14) | ===> btop++ v.1.4.0
2024/12/05 (09:10:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (10:15:48) | ===> btop++ v.1.4.0
2024/12/06 (10:15:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (10:16:03) | ===> btop++ v.1.4.0
2024/12/06 (10:16:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (10:18:52) | ===> btop++ v.1.4.0
2024/12/06 (10:18:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (10:19:34) | ===> btop++ v.1.4.0
2024/12/06 (10:19:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (12:38:50) | ===> btop++ v.1.4.0
2024/12/13 (12:38:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (19:05:59) | ===> btop++ v.1.4.0
2024/12/13 (19:05:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (14:53:18) | ===> btop++ v.1.4.0
2024/12/18 (14:53:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (14:06:22) | ===> btop++ v.1.4.0
2024/12/19 (14:06:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (16:13:53) | ===> btop++ v.1.4.0
2024/12/20 (16:13:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (18:43:26) | ===> btop++ v.1.4.0
2024/12/22 (18:43:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (17:53:21) | ===> btop++ v.1.4.0
2024/12/24 (17:53:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (23:10:54) | ===> btop++ v.1.4.0
2024/12/25 (23:10:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (23:11:52) | ===> btop++ v.1.4.0
2024/12/25 (23:11:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (23:15:52) | ===> btop++ v.1.4.0
2024/12/25 (23:15:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (15:06:01) | ===> btop++ v.1.4.0
2024/12/26 (15:06:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (15:14:00) | ===> btop++ v.1.4.0
2024/12/26 (15:14:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (21:21:16) | ===> btop++ v.1.4.0
2025/01/05 (21:21:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (14:38:55) | ===> btop++ v.1.4.0
2025/01/12 (14:38:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (19:10:54) | ===> btop++ v.1.4.0
2025/01/14 (19:10:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (20:07:53) | ===> btop++ v.1.4.0
2025/01/21 (20:07:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (15:53:56) | ===> btop++ v.1.4.0
2025/01/22 (15:53:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (03:43:48) | ===> btop++ v.1.4.0
2025/01/23 (03:43:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (22:28:37) | ===> btop++ v.1.4.0
2025/01/25 (22:28:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (19:19:33) | ===> btop++ v.1.4.0
2025/01/26 (19:19:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (19:48:35) | ===> btop++ v.1.4.0
2025/01/26 (19:48:35) | WARNING: Intel GPU: Failed to initialize PMU

